Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2023-04-14,0,0.5975988519361263,1.9067609654625508e-05,3.5,0
2023-04-17,0,0.4608423704556353,1.9067609654625508e-05,3.5,0
2023-04-18,0,0.6821678372950915,1.9067609654625508e-05,3.5,0
2023-04-19,0,0.5164464547221537,1.9067609654625508e-05,3.5,0
2023-04-20,0,0.5245842240218337,1.9067609654625508e-05,3.5,0
2023-04-21,0,0.5976494503598067,1.9067609654625508e-05,3.5,0
2023-04-24,0,0.5269480131613079,1.9067609654625508e-05,3.5,0
2023-04-25,0,0.5832791846664898,1.9067609654625508e-05,3.5,0
2023-04-26,0,0.37619784370628556,1.9067609654625508e-05,3.5,0
2023-04-27,0,0.44346052801947133,1.9067609654625508e-05,3.5,0
2023-04-28,0,0.5312017620142592,1.9067609654625508e-05,3.5,0
2023-05-01,0,0.5921048378151597,1.9067609654625508e-05,3.5,0
2023-05-02,0,0.5304281012300649,1.9067609654625508e-05,3.5,0
2023-05-03,0,0.4578165516669746,1.9067609654625508e-05,3.5,0
2023-05-04,0,0.3267989780010984,1.9067609654625508e-05,3.5,0
2023-05-05,0,0.44474364422572643,1.9067609654625508e-05,3.5,0
2023-05-08,0,0.33205514740783115,1.9067609654625508e-05,3.5,0
2023-05-09,0,0.5756865069224197,1.9067609654625508e-05,3.5,0
2023-05-10,0,0.4290650080795429,1.9067609654625508e-05,3.5,0
2023-05-11,0,0.27876238066622994,1.9067609654625508e-05,3.5,0
2023-05-12,0,0.6043417096219378,1.9067609654625508e-05,3.5,0
2023-05-15,0,0.5286949431695082,1.9067609654625508e-05,3.5,0
2023-05-16,0,0.3602003803015078,1.9067609654625508e-05,3.5,0
2023-05-17,0,0.5755450718441588,1.9067609654625508e-05,3.5,0
2023-05-18,0,0.5467430388081972,5.117276129811229e-05,3.5,0
2023-05-19,0,0.3880453345324459,1.9067609654625508e-05,3.5,0
2023-05-22,0,0.4152969593854474,1.9067609654625508e-05,3.5,0
2023-05-23,0,0.590361629009181,1.9067609654625508e-05,3.5,0
2023-05-24,0,0.5809497956019991,1.9067609654625508e-05,3.5,0
2023-05-25,0,0.36676938998064634,1.9067609654625508e-05,3.5,0
2023-05-26,0,0.5122435532792736,1.9067609654625508e-05,3.5,0
